Timestamp, X Coordinate, Y Coordinate, Z Coordinate, Speed,  Distance to Destination, Time to Arrival, Battery Level
Fri May  5 13:38:31 2023,386.066,267.227,-200.21,30,524.371,17.479,96.13
Fri May  5 13:38:37 2023,94.7276,260.025,-126.457,30,223.756,7.45853,86.1095
Fri May  5 13:38:47 2023,-69.2051,263.999,-102.668,30,62.0899,2.06966,76.116
Fri May  5 13:38:57 2023,230.088,264,-107.345,30,354.148,11.8049,66.1247
Fri May  5 13:39:07 2023,529.247,264,-103.126,30,652.202,21.7401,56.1247
Fri May  5 13:39:17 2023,656.032,265.311,-45.1869,30,778.676,25.9559,46.1177
Fri May  5 13:39:27 2023,656.032,265.311,-45.1869,30,778.676,25.9559,36.1261
Fri May  5 13:39:37 2023,656.032,265.311,-45.1869,30,778.676,25.9559,26.1182
Fri May  5 13:39:47 2023,656.032,265.311,-45.1869,30,778.676,25.9559,16.127
Fri May  5 13:40:01 2023,656.032,265.311,-45.1869,30,675.446,22.5149,6.1218
